Campaign_ID,Channel,Start_Date,Impressions,Clicks,Conversions,Cost,Revenue,Age_Group,Gender,Region,Engagement_Rate
C0031,Twitter Ads,2025-01-02 06:00:00,20118,1894,954,2464.58,17646.33,18-25,Male,East USA,21.78
C0032,Instagram Ads,2025-01-02 07:00:00,36773,2562,929,5281.19,17907.39,46-55,Female,North USA,16.47
C0033,Email Campaign,2025-01-02 08:00:00,2899,4393,170,2373.44,5851.26,46-55,Male,North USA,32.24
C0034,Twitter Ads,2025-01-02 09:00:00,2267,3494,242,8089.71,3114.25,36-45,Female,South USA,40.37
C0035,Google Ads,2025-01-02 10:00:00,32551,1179,500,3900.26,12821.32,36-45,Male,West USA,36.61
C0036,Email Campaign,2025-01-02 11:00:00,12394,2978,796,8345.29,9813.3,18-25,Male,West USA,30.82
C0037,Twitter Ads,2025-01-02 12:00:00,4556,4823,779,3847.01,2065.06,36-45,Female,North USA,11.65
C0038,Instagram Ads,2025-01-02 13:00:00,4890,703,320,8250.29,13583.07,55+,Male,East USA,13.2
C0039,Twitter Ads,2025-01-02 14:00:00,42606,1685,660,3366.51,11300.91,55+,Female,North USA,36.23
C0040,Email Campaign,2025-01-02 15:00:00,31740,3157,236,4429.32,17275.04,26-35,Male,North USA,40.15
C0041,Instagram Ads,2025-01-02 16:00:00,15502,4085,282,6174.11,12222.76,18-25,Male,North USA,5.9
C0042,Facebook Ads,2025-01-02 17:00:00,22777,4789,947,749.36,11521.53,36-45,Male,North USA,9.45
C0043,Google Ads,2025-01-02 18:00:00,11627,1495,326,9484.66,8870.96,18-25,Male,North USA,34.06
C0044,Google Ads,2025-01-02 19:00:00,9792,3788,908,5757.38,9309.46,26-35,Female,West USA,19.51
C0045,Facebook Ads,2025-01-02 20:00:00,44323,699,95,5102.81,19092.19,36-45,Male,South USA,28.21
C0046,Google Ads,2025-01-02 21:00:00,44021,613,300,8401.97,2855.08,26-35,Female,North USA,30.78
C0047,Facebook Ads,2025-01-02 22:00:00,9433,1166,478,8664.34,8979.75,46-55,Male,East USA,38.83
C0048,Google Ads,2025-01-02 23:00:00,44001,2986,738,5246.49,13150.96,55+,Male,East USA,40.31
C0049,Instagram Ads,2025-01-03 00:00:00,12016,2753,880,9276.26,8716.91,46-55,Male,East USA,14.08
C0050,Google Ads,2025-01-03 01:00:00,24897,1188,587,694.14,5735.99,36-45,Male,East USA,27.11
C0051,Google Ads,2025-01-03 02:00:00,3612,4485,778,1176.6,5818.41,55+,Female,East USA,6.26
C0052,Google Ads,2025-01-03 03:00:00,24483,4964,656,5988.04,4749.76,18-25,Female,West USA,42.12
C0053,Google Ads,2025-01-03 04:00:00,49555,2614,413,3572.96,6943.67,46-55,Female,South USA,42.29
C0054,Twitter Ads,2025-01-03 05:00:00,18159,4069,436,4669.04,17446.33,55+,Male,North USA,15.05
C0055,Instagram Ads,2025-01-03 06:00:00,45974,3384,384,3314.39,10153.97,18-25,Female,West USA,8.11
C0056,Instagram Ads,2025-01-03 07:00:00,41994,4666,911,4077.02,4880.75,18-25,Male,North USA,3.6
C0057,Facebook Ads,2025-01-03 08:00:00,15541,2296,576,8235.33,7752.08,18-25,Female,West USA,28.79
C0058,Instagram Ads,2025-01-03 09:00:00,36920,4283,877,5955.09,2206.03,18-25,Male,North USA,4.66
C0059,Facebook Ads,2025-01-03 10:00:00,27531,889,764,9973.58,18090.31,26-35,Female,South USA,34.06
C0060,Google Ads,2025-01-03 11:00:00,2585,3575,261,7879.45,8223.14,46-55,Male,East USA,33.94
C0061,Twitter Ads,2025-01-03 12:00:00,4943,3253,542,2772.98,19609.78,26-35,Female,North USA,30.74
C0062,Instagram Ads,2025-01-03 13:00:00,24939,1764,316,2680.23,7016.02,26-35,Female,North USA,43.84
C0063,Email Campaign,2025-01-03 14:00:00,20457,1409,439,3392.19,16743.49,46-55,Male,North USA,18.98
C0064,Instagram Ads,2025-01-03 15:00:00,2021,964,684,8440.43,5202.07,36-45,Female,East USA,45.12
C0065,Twitter Ads,2025-01-03 16:00:00,12653,3963,877,321.51,1615.44,18-25,Female,East USA,1.94
C0066,Instagram Ads,2025-01-03 17:00:00,44573,3463,273,2340.3,731.49,18-25,Female,South USA,5.73
C0067,Google Ads,2025-01-03 18:00:00,14417,3624,77,9053.94,12162.75,26-35,Female,South USA,20.67
C0068,Facebook Ads,2025-01-03 19:00:00,41757,3886,116,6416.97,6300.32,36-45,Male,South USA,29.74
C0069,Google Ads,2025-01-03 20:00:00,10692,123,409,2307.13,8926.05,36-45,Female,West USA,1.72
C0070,Google Ads,2025-01-03 21:00:00,46758,3103,588,2230.49,16391.08,46-55,Male,East USA,28.41
C0071,Google Ads,2025-01-03 22:00:00,7873,410,208,8633.05,5037.35,26-35,Female,South USA,15.44
C0072,Twitter Ads,2025-01-03 23:00:00,6675,1331,201,8942.89,6242.18,55+,Female,North USA,44.37
C0073,Twitter Ads,2025-01-04 00:00:00,1161,3888,523,2598.5,16922.19,26-35,Female,North USA,26.71
C0074,Google Ads,2025-01-04 01:00:00,38065,2811,778,4234.08,9905.97,46-55,Female,East USA,29.44
C0075,Instagram Ads,2025-01-04 02:00:00,27557,4901,451,8354.23,16570.54,55+,Male,East USA,47.29
C0076,Google Ads,2025-01-04 03:00:00,34763,521,10,7721.52,7552.07,46-55,Male,North USA,38.23
C0077,Twitter Ads,2025-01-04 04:00:00,33606,1873,367,8148.47,8027.56,26-35,Male,North USA,21.97
C0078,Email Campaign,2025-01-04 05:00:00,12534,3668,124,5208.06,3426.05,46-55,Female,North USA,23.9
C0079,Google Ads,2025-01-04 06:00:00,30127,1046,912,9119.91,18335.28,36-45,Male,West USA,32.43
C0080,Google Ads,2025-01-04 07:00:00,41397,1286,609,3293.22,17946.0,26-35,Female,South USA,10.09
C0081,Email Campaign,2025-01-04 08:00:00,26851,1934,206,1608.89,19685.92,46-55,Male,South USA,4.52
C0082,Google Ads,2025-01-04 09:00:00,2016,1664,990,7101.89,8108.7,36-45,Male,East USA,15.63
C0083,Email Campaign,2025-01-04 10:00:00,25253,2047,613,5416.58,16390.44,18-25,Male,East USA,38.94
C0084,Twitter Ads,2025-01-04 11:00:00,25276,1408,283,8553.13,8357.58,55+,Female,West USA,12.94
C0085,Google Ads,2025-01-04 12:00:00,24247,3086,865,857.53,9140.55,46-55,Male,South USA,6.62
C0086,Google Ads,2025-01-04 13:00:00,25300,486,169,8444.74,16616.99,46-55,Male,East USA,11.03
C0087,Twitter Ads,2025-01-04 14:00:00,9529,1261,182,2968.28,3629.6,26-35,Male,West USA,33.98
C0088,Email Campaign,2025-01-04 15:00:00,18262,3358,554,6565.81,4484.19,26-35,Female,South USA,30.74
C0089,Facebook Ads,2025-01-04 16:00:00,10268,4911,467,449.28,6363.09,18-25,Female,North USA,34.45
C0090,Facebook Ads,2025-01-04 17:00:00,22271,4033,594,6115.33,15784.76,55+,Male,West USA,16.17
C0091,Facebook Ads,2025-01-04 18:00:00,13185,2947,442,7186.85,7515.77,26-35,Male,West USA,45.05
C0092,Instagram Ads,2025-01-04 19:00:00,22243,4621,938,3719.06,7227.55,46-55,Female,South USA,22.64
C0093,Instagram Ads,2025-01-04 20:00:00,40099,1539,490,2193.34,19976.45,26-35,Female,North USA,25.73
C0094,Email Campaign,2025-01-04 21:00:00,9571,3542,464,5399.43,7737.74,26-35,Female,East USA,47.45
C0095,Facebook Ads,2025-01-04 22:00:00,40976,4580,205,8340.25,5030.63,55+,Male,West USA,48.97
C0096,Google Ads,2025-01-04 23:00:00,39044,155,805,3269.3,12501.95,18-25,Male,North USA,33.11
C0097,Twitter Ads,2025-01-05 00:00:00,49984,3424,608,2562.07,16057.41,55+,Female,West USA,47.25
C0098,Email Campaign,2025-01-05 01:00:00,41774,205,318,2825.41,1485.2,46-55,Female,South USA,27.12
C0099,Twitter Ads,2025-01-05 02:00:00,3568,3301,745,9493.86,12415.96,46-55,Female,West USA,15.43
C0100,Twitter Ads,2025-01-05 03:00:00,3027,769,565,3624.81,811.14,36-45,Female,East USA,15.82
C0101,Facebook Ads,2025-01-05 04:00:00,3695,4571,857,85.86,10574.01,18-25,Male,East USA,27.99
C0102,Instagram Ads,2025-01-05 05:00:00,49190,842,503,7827.73,5214.13,36-45,Female,East USA,30.29
C0103,Instagram Ads,2025-01-05 06:00:00,6258,1066,448,7007.78,6202.17,18-25,Male,South USA,22.04
C0104,Email Campaign,2025-01-05 07:00:00,23002,407,659,1329.25,9395.21,26-35,Female,West USA,44.2
C0105,Google Ads,2025-01-05 08:00:00,40504,2238,791,9849.8,18549.44,26-35,Male,North USA,21.39
C0106,Instagram Ads,2025-01-05 09:00:00,34159,3564,368,6100.22,14242.28,55+,Female,North USA,13.74
C0107,Facebook Ads,2025-01-05 10:00:00,14986,4997,45,5032.76,18743.23,18-25,Female,West USA,0.5
C0108,Email Campaign,2025-01-05 11:00:00,13666,209,43,3853.08,13233.42,26-35,Male,North USA,48.53
C0109,Email Campaign,2025-01-05 12:00:00,39660,3732,97,8991.79,241.44,46-55,Female,North USA,41.23
C0110,Twitter Ads,2025-01-05 13:00:00,4561,4535,667,2477.44,5385.15,36-45,Male,South USA,30.82
C0111,Twitter Ads,2025-01-05 14:00:00,27854,2015,25,2893.4,18124.87,55+,Female,West USA,41.54
C0112,Google Ads,2025-01-05 15:00:00,39952,4363,754,1267.99,12904.57,26-35,Male,West USA,40.53
C0113,Email Campaign,2025-01-05 16:00:00,23662,656,430,7603.24,19634.78,18-25,Male,West USA,46.6
C0114,Facebook Ads,2025-01-05 17:00:00,9392,204,562,5975.72,3203.68,26-35,Male,East USA,19.36
C0115,Twitter Ads,2025-01-05 18:00:00,31535,2147,776,6110.21,6005.28,18-25,Male,East USA,27.79
C0116,Twitter Ads,2025-01-05 19:00:00,14067,245,802,2223.78,7311.12,36-45,Female,East USA,5.02
C0117,Google Ads,2025-01-05 20:00:00,49033,2863,135,6529.13,6598.5,18-25,Female,West USA,48.27
C0118,Instagram Ads,2025-01-05 21:00:00,24599,973,17,7666.31,5114.63,26-35,Male,West USA,49.26
C0119,Instagram Ads,2025-01-05 22:00:00,36222,398,481,3610.99,8924.97,36-45,Male,East USA,39.48
C0120,Facebook Ads,2025-01-05 23:00:00,12837,3338,477,8023.4,12881.73,26-35,Male,North USA,22.76
C0121,Instagram Ads,2025-01-06 00:00:00,15039,745,889,3520.47,6294.01,18-25,Male,South USA,24.88
C0122,Email Campaign,2025-01-06 01:00:00,31818,4833,871,7593.48,1686.03,46-55,Male,West USA,21.82
C0123,Instagram Ads,2025-01-06 02:00:00,20115,3178,861,385.61,14199.8,55+,Male,South USA,14.74
C0124,Email Campaign,2025-01-06 03:00:00,11965,2611,519,5534.09,9234.43,55+,Male,South USA,26.44
C0125,Facebook Ads,2025-01-06 04:00:00,25538,883,411,9696.79,11174.0,55+,Female,West USA,2.77
C0126,Google Ads,2025-01-06 05:00:00,43530,470,845,9813.38,9162.47,55+,Female,West USA,49.6
C0127,Facebook Ads,2025-01-06 06:00:00,6056,586,185,2853.44,17818.11,36-45,Male,South USA,21.26
C0128,Twitter Ads,2025-01-06 07:00:00,33482,2137,749,4441.92,11219.03,46-55,Female,North USA,46.38
C0129,Twitter Ads,2025-01-06 08:00:00,48716,3296,975,676.63,18473.21,26-35,Female,South USA,36.24
C0130,Twitter Ads,2025-01-06 09:00:00,9110,1460,844,8739.75,10260.45,55+,Male,East USA,14.57
C0131,Google Ads,2025-01-06 10:00:00,14773,4387,923,5707.29,5922.5,36-45,Female,South USA,11.18
C0132,Facebook Ads,2025-01-06 11:00:00,28266,4925,376,3881.75,7173.31,36-45,Female,South USA,49.78
C0133,Twitter Ads,2025-01-06 12:00:00,18412,2361,497,1172.07,10490.37,46-55,Male,West USA,38.63
C0134,Twitter Ads,2025-01-06 13:00:00,34270,2721,27,9470.33,10646.79,46-55,Female,South USA,12.56
C0135,Facebook Ads,2025-01-06 14:00:00,7910,1056,65,5325.68,13778.02,18-25,Female,North USA,3.47
C0136,Email Campaign,2025-01-06 15:00:00,46453,480,928,2865.13,4567.45,18-25,Female,North USA,34.88
C0137,Facebook Ads,2025-01-06 16:00:00,26446,3749,44,3534.64,13210.97,26-35,Male,East USA,15.22
C0138,Instagram Ads,2025-01-06 17:00:00,1206,4993,911,2743.44,15593.9,46-55,Male,East USA,11.14
C0139,Instagram Ads,2025-01-06 18:00:00,22518,338,639,6038.01,13564.18,46-55,Female,West USA,36.77
C0140,Facebook Ads,2025-01-06 19:00:00,23361,1205,803,9303.14,9688.38,55+,Female,North USA,34.0
C0141,Email Campaign,2025-01-06 20:00:00,24419,1486,775,8574.1,19834.44,55+,Female,East USA,24.12
C0142,Email Campaign,2025-01-06 21:00:00,49702,2652,734,4630.79,8155.78,36-45,Female,West USA,47.14
C0143,Google Ads,2025-01-06 22:00:00,42523,2349,582,8273.67,2221.15,36-45,Male,West USA,34.01
C0144,Twitter Ads,2025-01-06 23:00:00,46151,1627,609,4259.9,16447.93,36-45,Male,North USA,44.68
C0145,Email Campaign,2025-01-07 00:00:00,23403,1767,792,2560.46,4322.8,36-45,Male,South USA,9.61
C0146,Google Ads,2025-01-07 01:00:00,19141,4232,356,9834.98,14294.38,18-25,Female,East USA,14.9
C0147,Email Campaign,2025-01-07 02:00:00,15820,2791,41,3073.68,3661.63,26-35,Male,North USA,5.32
C0148,Instagram Ads,2025-01-07 03:00:00,41342,3772,917,3271.06,435.86,46-55,Female,South USA,15.3
C0149,Google Ads,2025-01-07 04:00:00,7374,2096,142,9897.44,3279.99,55+,Female,South USA,48.59
C0150,Google Ads,2025-01-07 05:00:00,2678,1525,585,1382.58,7602.08,18-25,Female,North USA,48.15
C0151,Twitter Ads,2025-01-07 06:00:00,34827,2912,208,7617.31,2221.7,18-25,Male,South USA,38.04
C0152,Instagram Ads,2025-01-07 07:00:00,17198,3347,265,9361.34,4033.81,46-55,Female,East USA,26.1
C0153,Email Campaign,2025-01-07 08:00:00,10914,2692,351,5142.36,15316.06,55+,Female,East USA,39.06
C0154,Email Campaign,2025-01-07 09:00:00,28890,1590,676,75.09,15420.68,18-25,Female,North USA,27.72
C0155,Facebook Ads,2025-01-07 10:00:00,23299,1324,984,3781.84,16368.02,26-35,Female,North USA,0.28
C0156,Google Ads,2025-01-07 11:00:00,44585,2687,240,1160.11,16838.99,36-45,Female,North USA,25.13
C0157,Google Ads,2025-01-07 12:00:00,44689,3164,310,4191.07,8466.67,26-35,Male,North USA,29.99
C0158,Email Campaign,2025-01-07 13:00:00,43557,932,556,7910.77,17364.24,26-35,Male,South USA,13.36
C0159,Google Ads,2025-01-07 14:00:00,45020,4792,35,4415.18,10566.14,46-55,Male,North USA,10.24
C0160,Google Ads,2025-01-07 15:00:00,3693,2540,544,4347.65,9464.88,26-35,Female,East USA,13.76
C0161,Facebook Ads,2025-01-07 16:00:00,30467,4895,662,5590.06,14398.87,46-55,Male,North USA,31.22
C0162,Instagram Ads,2025-01-07 17:00:00,30723,1746,483,5837.82,4354.99,46-55,Male,West USA,7.39
C0163,Google Ads,2025-01-07 18:00:00,47699,540,396,8570.15,15811.0,55+,Female,North USA,36.04
C0164,Twitter Ads,2025-01-07 19:00:00,4627,1629,294,3118.14,8646.37,46-55,Male,West USA,21.19
C0165,Twitter Ads,2025-01-07 20:00:00,26939,3065,459,8225.63,2633.18,18-25,Male,South USA,17.73
C0166,Facebook Ads,2025-01-07 21:00:00,49925,2467,329,5681.04,2474.31,36-45,Male,South USA,40.38
C0167,Google Ads,2025-01-07 22:00:00,43941,3386,165,3040.27,3381.64,26-35,Male,South USA,25.35
C0168,Instagram Ads,2025-01-07 23:00:00,22834,4763,480,2986.5,17822.4,26-35,Male,South USA,18.98
C0169,Google Ads,2025-01-08 00:00:00,19047,4431,429,3643.32,19819.66,18-25,Male,North USA,43.92
C0170,Facebook Ads,2025-01-08 01:00:00,27105,1404,122,6245.8,7203.78,36-45,Male,North USA,18.48
C0171,Twitter Ads,2025-01-08 02:00:00,11230,3134,911,2346.58,5913.66,36-45,Female,East USA,42.96
C0172,Email Campaign,2025-01-08 03:00:00,16707,3788,660,9207.32,4453.54,36-45,Female,South USA,25.26
C0173,Email Campaign,2025-01-08 04:00:00,22976,4073,431,5770.38,16493.95,55+,Female,South USA,10.48
C0174,Instagram Ads,2025-01-08 05:00:00,45262,1285,895,9204.16,4263.23,36-45,Male,East USA,30.68
C0175,Twitter Ads,2025-01-08 06:00:00,24776,3362,939,511.72,18489.39,55+,Female,East USA,14.34
C0176,Facebook Ads,2025-01-08 07:00:00,31080,2207,730,3458.98,13380.27,26-35,Male,North USA,7.44
C0177,Facebook Ads,2025-01-08 08:00:00,2306,1940,844,276.94,17952.84,18-25,Female,East USA,4.42
C0178,Email Campaign,2025-01-08 09:00:00,7776,4420,885,2758.91,11124.8,55+,Male,North USA,12.16
C0179,Email Campaign,2025-01-08 10:00:00,28251,2847,951,8626.96,13844.53,26-35,Male,South USA,36.85
C0180,Email Campaign,2025-01-08 11:00:00,10474,4777,607,414.27,12427.22,46-55,Male,North USA,41.92
C0181,Instagram Ads,2025-01-08 12:00:00,41294,4364,294,4389.66,16640.79,26-35,Female,East USA,43.1
C0182,Instagram Ads,2025-01-08 13:00:00,22959,3233,581,1219.79,16733.63,18-25,Female,West USA,13.58
C0183,Twitter Ads,2025-01-08 14:00:00,6530,3520,63,4197.56,11836.88,18-25,Male,East USA,33.08
C0184,Facebook Ads,2025-01-08 15:00:00,30320,1565,614,8396.57,12686.9,46-55,Male,South USA,11.59
C0185,Email Campaign,2025-01-08 16:00:00,4748,4209,334,6249.56,18445.33,26-35,Female,South USA,31.18
C0186,Google Ads,2025-01-08 17:00:00,32968,2311,979,7380.73,18604.34,55+,Female,North USA,44.37
C0187,Twitter Ads,2025-01-08 18:00:00,33562,2904,467,3523.59,13318.57,18-25,Female,South USA,2.14
C0188,Google Ads,2025-01-08 19:00:00,14545,1643,894,9446.76,254.31,46-55,Female,West USA,49.26
C0189,Facebook Ads,2025-01-08 20:00:00,1663,1789,274,7107.16,2177.78,18-25,Male,North USA,41.37
C0190,Email Campaign,2025-01-08 21:00:00,35766,1671,391,4246.9,17173.06,46-55,Male,North USA,38.11
C0191,Email Campaign,2025-01-08 22:00:00,8994,4641,222,4293.32,1785.81,18-25,Female,East USA,34.6
C0192,Google Ads,2025-01-08 23:00:00,29021,3379,342,9190.91,4349.03,18-25,Male,North USA,38.54
C0193,Google Ads,2025-01-09 00:00:00,31303,3641,19,5785.23,4687.88,18-25,Male,West USA,49.73
C0194,Twitter Ads,2025-01-09 01:00:00,4304,4911,367,7078.47,12044.67,46-55,Female,East USA,38.53
C0195,Email Campaign,2025-01-09 02:00:00,47576,3123,212,4199.5,11574.99,55+,Male,West USA,17.64
C0196,Twitter Ads,2025-01-09 03:00:00,40353,918,717,2275.74,5859.41,36-45,Male,South USA,30.73
C0197,Email Campaign,2025-01-09 04:00:00,18675,4621,67,7249.41,4231.47,18-25,Male,West USA,16.91
C0198,Facebook Ads,2025-01-09 05:00:00,45417,1224,503,6097.85,15314.19,46-55,Male,North USA,48.51
C0199,Twitter Ads,2025-01-09 06:00:00,24938,1229,519,5038.36,18715.58,18-25,Female,East USA,45.02
C0200,Twitter Ads,2025-01-09 07:00:00,24664,1802,777,6259.01,1150.83,46-55,Male,North USA,28.42
C0201,Twitter Ads,2025-01-09 08:00:00,2636,2101,232,2122.44,2750.29,26-35,Female,West USA,39.09
C0202,Twitter Ads,2025-01-09 09:00:00,21080,3978,378,7949.69,12879.06,26-35,Female,North USA,45.49
C0203,Twitter Ads,2025-01-09 10:00:00,28728,4472,701,9484.22,16108.38,46-55,Female,West USA,12.26
C0204,Facebook Ads,2025-01-09 11:00:00,27736,1906,427,8916.48,15844.65,55+,Male,South USA,29.02
C0205,Email Campaign,2025-01-09 12:00:00,29673,3047,883,3248.29,14421.69,26-35,Female,East USA,24.14
C0206,Google Ads,2025-01-09 13:00:00,38505,3309,556,4089.76,17759.82,46-55,Female,West USA,38.6
C0207,Email Campaign,2025-01-09 14:00:00,48323,2252,880,8093.6,4425.24,46-55,Female,South USA,19.02
C0208,Facebook Ads,2025-01-09 15:00:00,47645,4741,112,5971.42,2235.09,26-35,Male,South USA,35.48
C0209,Google Ads,2025-01-09 16:00:00,1854,4305,170,5501.75,12345.72,18-25,Female,East USA,20.21
C0210,Twitter Ads,2025-01-09 17:00:00,25548,644,209,9270.09,16463.29,36-45,Male,South USA,5.64
C0211,Google Ads,2025-01-09 18:00:00,39623,2501,169,5383.45,11682.67,36-45,Female,West USA,5.45
C0212,Instagram Ads,2025-01-09 19:00:00,8392,4938,704,5173.64,19263.65,26-35,Female,North USA,6.04
C0213,Email Campaign,2025-01-09 20:00:00,47717,2464,874,468.08,15931.73,26-35,Male,East USA,1.72
C0214,Email Campaign,2025-01-09 21:00:00,22556,1389,145,740.7,14045.76,26-35,Female,East USA,26.7
C0215,Twitter Ads,2025-01-09 22:00:00,39559,3865,951,123.83,1299.12,55+,Female,South USA,33.63
C0216,Twitter Ads,2025-01-09 23:00:00,27309,1975,407,9136.78,2244.07,36-45,Female,West USA,6.42
C0217,Email Campaign,2025-01-10 00:00:00,22919,4528,747,4113.45,15718.27,46-55,Female,East USA,30.63
C0218,Instagram Ads,2025-01-10 01:00:00,5931,4787,401,4712.19,4044.93,55+,Male,South USA,29.93
C0219,Facebook Ads,2025-01-10 02:00:00,33970,882,764,8461.6,673.82,18-25,Male,North USA,7.44
C0220,Google Ads,2025-01-10 03:00:00,45215,639,115,6112.0,18224.14,26-35,Male,North USA,20.26
C0221,Twitter Ads,2025-01-10 04:00:00,13688,2882,592,6114.54,17827.03,46-55,Male,South USA,37.78
C0222,Email Campaign,2025-01-10 05:00:00,26342,2768,598,3000.52,4447.83,26-35,Male,East USA,0.94
C0223,Email Campaign,2025-01-10 06:00:00,38157,4814,63,8347.39,15626.1,36-45,Male,South USA,7.43
C0224,Instagram Ads,2025-01-10 07:00:00,3327,4037,286,1700.01,1054.8,46-55,Male,East USA,49.79
C0225,Facebook Ads,2025-01-10 08:00:00,41772,3056,120,578.84,5772.65,36-45,Male,West USA,36.7
C0226,Email Campaign,2025-01-10 09:00:00,41545,3822,233,1956.45,12510.97,55+,Female,South USA,23.26
C0227,Email Campaign,2025-01-10 10:00:00,1197,3967,84,2713.99,15287.26,46-55,Male,North USA,31.53
C0228,Twitter Ads,2025-01-10 11:00:00,24509,1933,515,2859.0,306.94,18-25,Female,West USA,42.33
C0229,Facebook Ads,2025-01-10 12:00:00,35698,2246,23,6721.61,6591.55,18-25,Female,East USA,42.13
C0230,Twitter Ads,2025-01-10 13:00:00,45542,2270,980,2217.35,4365.48,55+,Female,West USA,16.3
C0231,Facebook Ads,2025-01-10 14:00:00,16087,3491,779,6782.75,19975.73,55+,Female,South USA,24.62
C0232,Facebook Ads,2025-01-10 15:00:00,23671,1716,491,956.77,13452.55,18-25,Female,South USA,31.94
C0233,Email Campaign,2025-01-10 16:00:00,26184,4717,198,1514.66,8172.86,46-55,Male,East USA,3.69
C0234,Instagram Ads,2025-01-10 17:00:00,28848,1016,373,5112.77,1605.49,55+,Female,South USA,47.3
C0235,Google Ads,2025-01-10 18:00:00,43107,4912,248,9222.86,12013.54,36-45,Male,East USA,21.69
C0236,Facebook Ads,2025-01-10 19:00:00,21666,2856,410,8602.7,12869.86,46-55,Male,East USA,18.61
C0237,Twitter Ads,2025-01-10 20:00:00,45357,2036,855,9689.1,16346.48,36-45,Male,South USA,45.36
C0238,Google Ads,2025-01-10 21:00:00,16708,4142,994,6522.27,5842.68,36-45,Male,East USA,6.0
C0239,Email Campaign,2025-01-10 22:00:00,27370,3191,313,6774.36,19630.42,26-35,Male,South USA,2.06
C0240,Instagram Ads,2025-01-10 23:00:00,3811,4755,100,6268.98,8845.37,26-35,Male,North USA,34.28
C0241,Email Campaign,2025-01-11 00:00:00,48011,1068,401,6247.05,5989.28,55+,Male,East USA,19.31
C0242,Email Campaign,2025-01-11 01:00:00,7546,3464,193,1513.85,7034.14,18-25,Male,East USA,38.25
C0243,Email Campaign,2025-01-11 02:00:00,35754,3303,26,5460.2,10439.76,46-55,Female,West USA,3.52
